Fichier,Niveau,RatioConnContr,NbConnecteurs,NbTotalLemmes
A1_1.txt,A1,0.0,0,156
A1_10.txt,A1,0.0,0,157
A1_11__NT2.txt,A1,0.0,0,151
A1_12_NT2.txt,A1,0.0,0,95
A1_13_NT2.txt,A1,0.0,0,86
A1_14_NT2.txt,A1,0.0,0,124
A1_15_NT2.txt,A1,0.0,0,181
A1_16_NT2.txt,A1,0.0,0,158
A1_17_NT2.txt,A1,0.0,0,134
A1_18_NT2.txt,A1,0.0,0,241
A1_19_NT2.txt,A1,0.0,0,267
A1_2.txt,A1,0.0,0,180
A1_20_NT2.txt,A1,0.0,0,185
A1_21_NT2.txt,A1,0.0,0,90
A1_22_NT2.txt,A1,0.0,0,196
A1_3.txt,A1,0.0,0,160
A1_4.txt,A1,0.0,0,175
A1_5_B.txt,A1,0.0,0,47
A1_6_B.txt,A1,0.0,0,107
A1_7_B.txt,A1,0.0,0,103
A1_8.txt,A1,0.0,0,164
A1_9.txt,A1,0.0,0,114
A2_1.txt,A2,0.0,0,204
A2_10.txt,A2,0.0,0,221
A2_11.txt,A2,0.0,0,104
A2_12.txt,A2,0.0,0,120
A2_13.txt,A2,0.0,0,130
A2_14.txt,A2,0.0,0,128
A2_15.txt,A2,0.0,0,126
A2_16.txt,A2,0.0,0,127
A2_17.txt,A2,0.0,0,125
A2_18.txt,A2,0.0,0,123
A2_19.txt,A2,0.0,0,132
A2_2.txt,A2,0.0,0,146
A2_20_NT2.txt,A2,0.0,0,268
A2_21_NT2.txt,A2,0.0,0,218
A2_22_NT2.txt,A2,0.0,0,299
A2_23_NT2.txt,A2,0.0,0,310
A2_24_NT2.txt,A2,0.0,0,416
A2_25_NT2.txt,A2,0.0,0,303
A2_26_NT2.txt,A2,0.0,0,294
A2_27_NT2.txt,A2,0.0,0,203
A2_28_NT2.txt,A2,0.0,0,325
A2_29_NT2.txt,A2,0.0,0,218
A2_3.txt,A2,0.0,0,193
A2_30_NT2.txt,A2,0.0,0,376
A2_31_NT2.txt,A2,0.0,0,253
A2_32_CNAVT.txt,A2,0.0,0,135
A2_33_CNAVT.txt,A2,0.0,0,616
A2_34_CNAVT.txt,A2,0.0,0,58
A2_35_CNAVT.txt,A2,0.0,0,52
A2_36_CNAVT.txt,A2,0.0,0,49
A2_37_CNAVT.txt,A2,0.0,0,68
A2_38_CNAVT.txt,A2,0.0,0,311
A2_39_CNAVT.txt,A2,0.0,0,359
A2_4.txt,A2,0.0,0,154
A2_5.txt,A2,0.0,0,151
A2_6.txt,A2,0.0,0,166
A2_7.txt,A2,0.0,0,172
A2_8.txt,A2,0.0,0,229
A2_9.txt,A2,0.0,0,184
B1_1.txt,B1,0.0,0,205
B1_10.txt,B1,0.0,0,111
B1_11.txt,B1,0.005208333333333333,1,192
B1_12.txt,B1,0.0,0,120
B1_13.txt,B1,0.0,0,121
B1_14.txt,B1,0.0,0,186
B1_15.txt,B1,0.0,0,251
B1_16.txt,B1,0.0,0,146
B1_17.txt,B1,0.0,0,262
B1_18_CNAVT.txt,B1,0.0,0,510
B1_19_CNAVT.txt,B1,0.0,0,286
B1_2.txt,B1,0.0,0,176
B1_20_CNAVT.txt,B1,0.0017123287671232876,1,584
B1_21_CNAVT.txt,B1,0.0,0,160
B1_22_NT2.txt,B1,0.0,0,514
B1_23_NT2.txt,B1,0.0,0,283
B1_24_NT2.txt,B1,0.0,0,331
B1_25_NT2.txt,B1,0.0,0,382
B1_26_NT2.txt,B1,0.0,0,369
B1_27_NT2.txt,B1,0.0,0,334
B1_28_NT2.txt,B1,0.0,0,260
B1_29_NT2.txt,B1,0.0,0,502
B1_3.txt,B1,0.0,0,218
B1_30_NT2.txt,B1,0.0,0,292
B1_31_NT2.txt,B1,0.0,0,560
B1_32_NT2.txt,B1,0.0,0,625
B1_33_NT2.txt,B1,0.0,0,293
B1_34_NT2.txt,B1,0.005263157894736842,2,380
B1_35_NT2.txt,B1,0.0,0,509
B1_36_NT2.txt,B1,0.0,0,657
B1_37_NT2.txt,B1,0.0,0,830
B1_38_NT2.txt,B1,0.0,0,815
B1_39_NT2.txt,B1,0.0,0,499
B1_4.txt,B1,0.0,0,258
B1_40_NT2.txt,B1,0.0,0,1008
B1_5.txt,B1,0.0,0,204
B1_6.txt,B1,0.0,0,179
B1_7.txt,B1,0.0,0,204
B1_8.txt,B1,0.0,0,147
B1_9.txt,B1,0.0,0,222
B2_1.txt,B2,0.0,0,160
B2_2.txt,B2,0.0,0,180
B2_24.txt,B2,0.0,0,126
B2_25.txt,B2,0.0,0,130
B2_26.txt,B2,0.0,0,123
B2_27.txt,B2,0.0,0,131
B2_28.txt,B2,0.0,0,127
B2_29.txt,B2,0.0,0,109
B2_30_CNAVT.txt,B2,0.0,0,269
B2_31_CNAVT.txt,B2,0.0,0,92
B2_32_CNAVT.txt,B2,0.0,0,87
B2_33_CNAVT.txt,B2,0.0,0,212
B2_34_CNAVT.txt,B2,0.0,0,406
B2_35_CNAVT.txt,B2,0.0,0,196
B2_36_CNAVT.txt,B2,0.0,0,143
B2_37_CNAVT.txt,B2,0.0,0,129
B2_38_CNAVT.txt,B2,0.0,0,115
B2_39_CNAVT.txt,B2,0.0,0,107
B2_40_CNAVT.txt,B2,0.0,0,128
B2_41_CNAVT.txt,B2,0.0024183796856106408,2,827
B2_42_CNAVT.txt,B2,0.0010362694300518134,1,965
B2_COMPROF10.txt,B2,0.007263922518159807,3,413
B2_COMPROF11.txt,B2,0.0,0,494
B2_COMPROF12.txt,B2,0.0,0,481
B2_COMPROF13.txt,B2,0.0,0,348
B2_COMPROF14.txt,B2,0.0,0,415
B2_COMPROF15.txt,B2,0.0,0,470
B2_COMPROF16.txt,B2,0.0,0,206
B2_COMPROF17.txt,B2,0.0,0,158
B2_COMPROF18.txt,B2,0.0,0,253
B2_COMPROF19.txt,B2,0.0,0,360
B2_COMPROF20.txt,B2,0.0,0,307
B2_COMPROF21.txt,B2,0.002512562814070352,1,398
B2_COMPROF22.txt,B2,0.0,0,146
B2_COMPROF23.txt,B2,0.0,0,145
B2_COMPROF3.txt,B2,0.0,0,509
B2_COMPROF4.txt,B2,0.0,0,519
B2_COMPROF5.txt,B2,0.0,0,330
B2_COMPROF6.txt,B2,0.0,0,300
B2_COMPROF7.txt,B2,0.0,0,269
B2_COMPROF8.txt,B2,0.002421307506053269,1,413
B2_COMPROF9.txt,B2,0.0,0,349
C1_CNAVT1.txt,C1-C2,0.003278688524590164,1,305
C1_CNAVT2.txt,C1-C2,0.0,0,324
C1_CNAVT3.txt,C1-C2,0.001597444089456869,1,626
C1_CNAVT4.txt,C1-C2,0.004329004329004329,1,231
C1_CNAVT5.txt,C1-C2,0.0045871559633027525,2,436
C1_CNAVT6.txt,C1-C2,0.005263157894736842,2,380
C2_10_TIJD.txt,C1-C2,0.0,0,359
C2_11_TIJD.txt,C1-C2,0.0,0,211
C2_12_TIJD.txt,C1-C2,0.0,0,497
C2_13_TIJD.txt,C1-C2,0.0,0,190
C2_14_TIJD.txt,C1-C2,0.0,0,638
C2_15_TIJD.txt,C1-C2,0.0,0,442
C2_16_TIJD.txt,C1-C2,0.0,0,577
C2_17_TIJD.txt,C1-C2,0.0,0,859
C2_18_TIJD.txt,C1-C2,0.0,0,316
C2_19_TIJD.txt,C1-C2,0.0,0,403
C2_1_TIJD.txt,C1-C2,0.0,0,491
C2_20_TIJD.txt,C1-C2,0.0011587485515643105,1,863
C2_21_TIJD.txt,C1-C2,0.0008257638315441783,1,1211
C2_22_TIJD.txt,C1-C2,0.003194888178913738,1,313
C2_23_TIJD.txt,C1-C2,0.003048780487804878,2,656
C2_24_TIJD.txt,C1-C2,0.000423908435777872,1,2359
C2_25_TIJD.txt,C1-C2,0.0,0,409
C2_26_TIJD.txt,C1-C2,0.0,0,816
C2_27_TIJD.txt,C1-C2,0.0016849199663016006,2,1187
C2_28_TIJD.txt,C1-C2,0.005025125628140704,2,398
C2_29_TIJD.txt,C1-C2,0.0,0,871
C2_2_TIJD.txt,C1-C2,0.0,0,442
C2_30_TIJD.txt,C1-C2,0.0,0,748
C2_3_TIJD.txt,C1-C2,0.0,0,1043
C2_4_TIJD.txt,C1-C2,0.0,0,299
C2_5_TIJD.txt,C1-C2,0.003236245954692557,1,309
C2_6_TIJD.txt,C1-C2,0.0,0,518
C2_7_TIJD.txt,C1-C2,0.0004928536224741252,2,4058
C2_8_TIJD.txt,C1-C2,0.0,0,180
C2_9_TIJD.txt,C1-C2,0.0,0,316
